Character	Canonical Name	Gender	Address 1	Address 2	Address 3	Politics	Marital Status	Opponent	Typical Activity	Vehicle of Choice	Weapon of Choice	Seen Wearing	Domains	Genres	Fictive Status	Portrayed By	Creator	Creation	Group Affiliation	Fictional World	Category	Negative Talking Points	Positive Talking Points
Jesse Pinkman	Jesse Pinkman	male	Albuquerque	New Mexico	USA	libertarian	single	Gale Boetticher, Gustavo Fring, Hank Schrader	cooking chrystal meth, running a criminal empire	1986 Toyota Tercel	Taurus PT99  pistol	hipbop outfit	Breaking Bad	crime, television	fictional	Aaron Paul	Vince Gilligan		Vamonos Pest	Breaking Bad	Criminal	scholastically-challenged, reckless, drug-addled, naïve, self-hating	ethical, fair-minded, caring, big-hearted, loyal
Gustavo Fring	Gustavo Fring	male	Albuquerque	New Mexico	USA	right, libertarian	single	Walter White, Jesse Pinkman	selling chrystal meth, running a criminal empire, deep-frying chicken, selling fried chicken	1998 Volvo V70	deep-fat fryer, spicy chicken zingers	sharp suit	Breaking Bad	crime, television	fictional	Giancarlo Esposito	Vince Gilligan	Los Pollos Hermanos	Los Pollos Hermanos	Breaking Bad	Criminal, Businessman, Restauranteur	controlling, cold-blooded, Machiavellian, ruthless	no-nonsense, orderly, calm-headed, strategic, emotionally-controlled,  polite, well-mannered
Don Draper	Don Draper	male	Manhattan	New York City	USA	moderate	divorced	Ted Chaough	developing advertising campaigns, creating adverts	1966 Jaguar E-Type, Cadillac DeVille	Molotov Martini	sharp suit	Mad Men, the Advertising Industry	business, television	fictional	Jon Hamm	Matthew Weiner	Sterling Cooper Draper	Sterling Cooper Draper	Mad Men	Adman, Executive, Pretender	unfaithful, secretive, arrogant, aloof	creative, chivalrous, passionate, inventive,  suave, charming, mysterious, handsome, enigmatic, ethical, 
Leroy Jethro Gibbs	Leroy Gibbs, Jethro Gibbs	male	Navy Boat Yards	Virginia	USA		divorced		solving mysteries, solving crimes, finding clues, interpreting evidence	pickup truck, yellow Camaro	Marine-issue pistol	Marine crew cut	NCIS	crime, television	fictional	Mark Harmon	Donald P. Bellisario		NCIS	NCIS	Detective, Policeman	sarcastic, brusque, abrupt, impatient	no-nonsense, calm-headed, probing, insightful, assertive, dependable, competent, resourceful, dutiful
Tony DiNozzo	Tony DiNozzo	male	Navy Boat Yards	Virginia	USA		single		solving mysteries, solving crimes, finding clues, interpreting evidence	NCIS-issue SUV	apt movie references		NCIS	crime, television	fictional	Michael Weatherly	Donald P. Bellisario		NCIS	NCIS	Detective, Policeman	juvenile, immature, irritating, movie-obsessed, nosy	flirtatious, outgoing, streetwise, insightful
Timothy McGee	Timothy McGee	male	Navy Boat Yards	Virginia	USA		single		solving mysteries, solving crimes, finding clues, interpreting evidence, hacking into computers	NCIS-issue SUV	arcane Unix wizardry		NCIS	crime, television	fictional	Sean Murray	Donald P. Bellisario		NCIS	NCIS	Detective, Policeman, Geek, Nerd	geeky, nerdy, timid, inexperienced	hard-working, technically-brilliant, resourceful
Tyrion Lannister	Tyrion Lannister	male	Casterly Rock	Westerlands	Westeros		single		developing political strategies	horse-drawn carriage	spiky mace, crossbow, very short sword		Game of Thrones, Westeros	fantasy, television, literature	fictional	Peter Dinklage	George R. R. Martin		The House Lannister	Games of Thrones	Dwarf	short, vertically-challenged, manipulative, heavy-drinking, whore-mongering, deformed	strategic, tactical, insightful, compassionate, clever, farseeing, politically-savvy, astute
Cersei Lannister	Cersei Lannister	female	Casterly Rock	Westerlands	Westeros		married to Robert Baratheon, dating Jaime Lannister			horse-drawn carriage	feminine wiles		Game of Thrones, Westeros	fantasy, television, literature	fictional	Lena Headey	George R. R. Martin		The House Lannister	Games of Thrones	Lady	cruel, manipulative, ruthless, aggressive, power-hungry, wilful, erratic, ineffectual	beautiful, seductive, assertive, self-assured 
Jaime Lannister	Jaime Lannister	male	Casterly Rock	Westerlands	Westeros		dating Jaime Lannister			horse	longsword		Game of Thrones, Westeros	fantasy, television, literature	fictional	Nikolaj Coster-Waldau	George R. R. Martin		The House Lannister	Games of Thrones	Warrior	arrogant, amoral,  dishonorable	handsome, brave, skillful
Eddard Stark	Eddard Stark	male	Winterfell	Northlands	Westeros		married to Catelyn Tully			horse	longsword		Game of Thrones, Westeros	fantasy, television, literature	fictional	Sean Bean	George R. R. Martin			Games of Thrones	Warrior	cold, aloof, emotionally-distant, sombre	respected, dutiful, moral, inspiring, honorable, fair-minded
Chewbacca	Chewbacca	male	Mos Eisley		Tatooine		single		piloting the Millenium Falcon, doing the Kessel run, smuggling contraband, fighting for the rebel alliance, piloting a spaceship	Millenium Falcon	crossbow	bandoleer	Star Wars	science fiction	fictional	Peter Mayhew	George Lucas		The Rebel Alliance	Star Wars, The Empire Strikes Back, Return of the Jedi	Copilot, Sidekick	scary, hairy, shaggy, inarticulate	gentle, loyal, companionable, fierce, tall
C-3PO	Cee Threepio	male			Tatooine		single		complaining about everything, eluding imperial storm-troopers	escape pod	whiny persistence	gold metal skin	Star Wars	science fiction	fictional	Anthony Daniels	George Lucas		The Rebel Alliance	Star Wars, The Empire Strikes Back, Return of the Jedi	Robot, Sidekick, Linguist	fussy, worry-prone, whiny, stiff, rigid	polite, well-mannered, multilingual, respectful, dutiful
R2D2	R2D2	male			Tatooine		single		eluding imperial storm-troopers, carrying secret plans, fighting for the rebel alliance	escape pod	electric shocker, burning oil sprayer	chrome dome	Star Wars	science fiction	fictional	Kenny Baker	George Lucas		The Rebel Alliance	Star Wars, The Empire Strikes Back, Return of the Jedi	Robot, Sidekick	diminutive, stubborn, wilful	spunky, adventurous, resourceful, brave, faithful, cute
Marty McFly	Marty McFly	male	Lou's Dinner	Hill Valley	USA		single	Biff Tannen	playing rock music, playing rock guitar, traveling in time	skateboard, hoverboard, tricked-out DeLorean DMC-12	Colt Peacemaker	braces, Nike Air Mags, red bodywarmer Jacket	Back To The Future	science fiction, comedy	fictional	Michael J. Fox	Robert Zemeckis	The Pinheads	The Pinheads	Back to the Future	Teenager, Hero	accident-prone, proud, reckless, easily-goaded	resourceful, brave, loyal, adventurous
Doc Emmett Brown	Emmett Brown	male	Hill Valley	California	USA		single		pioneering new technologies, developing new technologies, inventing time machines	tricked-out DeLorean DMC-12	weapons-grade plutonium	radiation suit, white lab coat	Back To The Future	science fiction, comedy	fictional	Christopher Lloyd	Robert Zemeckis	DeLorean DMC-12 Time Machine		Back to the Future	Scientist, Engineer	wild-eyed, wild-haired, nutty, absent-minded, overly-verbose, naïve	brilliant, clever, inventive, pioneering, smart, experimental, versatile, heroic, sexy
Biff Tannen	Biff Tannen	male	Hill Valley	California	USA	right	single	Marty McFly	giving noogies, mangling idioms	1946 Ford Super De Luxe Convertible	Smith & Wesson Model 60, noogies	varsity jacket, crew cut	Back To The Future	science fiction, comedy	fictional	Thomas F. Wilson	Robert Zemeckis			Back to the Future	Teenager, Bully	lazy, cruel, bullying, idiom-mangling, intimidating, dishonest	
George McFly	George McFly	male	Hill Valley	California	USA		married to Lorraine McFly	Biff Tannen	standing up to bullies, spying on girls	1946 Ford Coupé		sweat-stained shirt	Back To The Future	science fiction, comedy	fictional	Crispin Glover	Robert Zemeckis			Back to the Future	Teenager, Father	unassertive, weak, timid, easily-bullied, nerdy	sensitive, polite, well-mannered, 
Dirty Harry Callahan	Harry Callahan	male	San Francisco	California	USA	right	single	the Scorpio killer	tracking down criminals, preventing crime, solving crimes, punishing criminals	1972 Ford Galaxie 500	.357 Magnum	sport coat and slacks	Detective fiction	movies, crime	fictional	Clint Eastwood	Harry Julian Fink		San Francisco Police	Dirty Harry, Sudden Impact	Detective, Policeman	vengeful, violent, anti-heroic, insubordinate, unscrupulous, brutal, rule-breaking, merciless	effective, non-nonsense, justice-serving, relentless, unconventional, forceful, sharp-shooting, 
Sonny Crockett	Sonny Crockett	male	Miami	Florida	USA		single		tracking down criminals, preventing crime, solving crimes, punishing criminals, arresting drug dealers	Ferrari Daytona Spider	SIG-Sauer P220	black Ray Ban Wayfarers, white Versace blazer, high-waisted pants, low-cut T-shirt,  slip-on sockless loafers, designer stubble 	Miami Vice	television, crime	fictional	Don Johnson, Colin Farrell	Anthony Yerkovich		Miami Metro	Miami: Vice	Detective, Policeman	uptight, abrasive, stubborn, haunted	fashionable, cool, fashionably-sockless, stylish, 
Inspector Endeavour Morse	Endeavour Morse	male	Oxford	Oxfordshire	UK		single		solving mysteries, solving crimes, finding clues, interpreting evidence	1960 Regency red  Jaguar Mark 2	cryptic crossword clues	sport coat and slacks	Oxford	television, crime	fictional	John Thaw	Colin Dexter		Oxford Police	Inspector Morse	Detective	patronising, misogynistic, snobby, crotchety, grammatically-uptight, 	poetic, romantic, clever, probing, insightful, intelligent, well-educated, erudite
Rico Tubbs	Rico Tubbs	male	Miami	Florida	USA		single		tracking down criminals, preventing crime, solving crimes, punishing criminals, arresting drug dealers	 1964 Cadillac Coupe de Ville convertible	Uzi	shiny teal suit, shoes without socks	Miami Vice	television, crime	fictional	Philip Michael Thomas, Jamie Foxx	Anthony Yerkovich		Miami Metro	Miami: Vice	Detective	dissolute, gritty, self-conscious	humane, glamorous, easy-going, smooth, swinging
Jean-Luc Picard	Jean-Luc Picard	male		Paris	France		single		making strategic decisions, commanding a spaceship	U.S.S. Enterprise NCC-1701-E	phaser, photon torpedo	lycra Starfleet uniform	Star Trek, the U.S.S. Enterprise, Starfleet	science fiction	fictional	Patrick Stewart	Gene Roddenberry		Starfleet	Star Trek: The Next Generation	Captain, Adventurer, Astronaut	pointy-headed, bald, over-serious, uptight	logical, rational, morally-upright, intelligent, diplomatic, wise, intellectual
Commander Data	Data	male			Omicron Theta		single		piloting a spaceship, promoting logical thinking, promoting science, applying science, promoting logical thinking	U.S.S. Enterprise NCC-1701-E	phaser	lycra Starfleet uniform	Star Trek, the U.S.S. Enterprise, Starfleet	science fiction	fictional	Brent Spiner	Gene Roddenberry		Starfleet	Star Trek: The Next Generation	Android, Robot, Hero, Scientist	mechanical, stiff, rigid, humorless, rubber-skinned	intelligent, resourceful, capable, rational, quick-witted, 
Edward Cullen	Edward Cullen	male	Forks	Washington State	USA		married to Bella Swan	Jacob Black	sucking blood, avoiding growing old	Silver Volvo C30	gleaming fangs	tight shirt and slacks	Twilight, the Vampire world	fantasy, horror, literature	fictional	Robert Pattinson	Stephenie Meyer			Twilight	Vampire, Lover	stubborn, obstinate, over-protective, morally-uptight, corpse-skinned, old-fashioned	charming, polite, determined, handsome, strong
Alan Partridge	Alan Partridge	male		Norwich	USA	right	single		hosting radio shows	Rover 800 KV6 Sterling	extension cord garrote	sport coat and slacks	Regional Radio	radio, television, comedy	fictional	Steve Coogan	Armando Iannucci			Knowing Me Knowing You, Alpha Papa	DJ, English Buffoon, Radio Host	insecure, superficial, narcissistic, socially-incompetent, socially-awkward, insensitive, thoughtless, self-absorbed, sexually-repressed, misogynistic, patronising, out-of-touch, ultraconservative	enthusiastic, undaunted, chatty
Dr. Greg House	Greg House	male	Plainsboro, Princeton	New Jersey	USA	libertarian	dating Lisa Cuddy	Lisa Cuddy, Eric Foreman	solving mysteries, treating diseases, diagnosing diseases, finding clues, interpreting evidence, twirling a cane	Honda Fireblade 998cc motorcycle	walking stick	open-necked Oxford shirt, battered tennis shoes, leather motorcycle jacket	Diagnostic medicine	medicine	fictional	Hugh Laurie	David Shore			House	Doctor	arrogant, haughty, high-handed, manipulative, condescending, dispassionate, cold, anti-social, misanthropic, cynical, curmudgeonly, drug-dependent, lame, sarcastic, moody, antagonistic, cranky	astute, brilliant, rational, observant, clever, shrewd, probing, detail-oriented, insightful, cunning, witty
Edmund Blackadder	Edmund Blackadder	male		London	UK	right	single	Lord Melchett	manipulating political pawns, climbing social ladders, wielding political power	horse-drawn carriage	rapier	neckruff, black doublet	the English class system	comedy, television, history	fictional	Rowan Atkinson	Richard Curtis, Ben Elton			Blackadder II, Blackadder III, Blackadder Goes Forth	Aristocrat	sarcastic, sharp-tongued, cynical, haughty, condescending, 	intelligent, witty, charming, cunning, quick-witted, sharp-witted
Baldrick	Baldrick	male		London	UK		single		developing cunning plans, providing comic relief	haycart	phallic turnip	ragged tunic	the English class system	comedy, television, history	fictional	Tony Robinson	Richard Curtis, Ben Elton			Blackadder II, Blackadder III, Blackadder Goes Forth	Sidekick	unhygienic, filthy, ragged, dim-witted, not-quite-cunning, impractical, unintelligent	good-hearted, loyal, steadfast, 
Lord Percy Percy	Percy Percy	male		London	UK	right	single		flaunting foppish fashions, providing comic relief	horse-drawn carriage	letter-opener	foppish neckruff, silk tights	the English class system	comedy, television, history	fictional	Tim McInnerny	Richard Curtis, Ben Elton			Blackadder II, Blackadder III, Blackadder Goes Forth	Sidekick	dim-witted, gullible,  foppish, twittish, snooty	upper-class, good-hearted, loyal, affable
Lt. George Colthurst St Barleigh	George Colthurst	male		The Somme	France	right	single		providing comic relief	1912 Lagonda 30	service revolver	lieutenant's uniform	the English class system	comedy, television, history	fictional	Hugh Laurie	Richard Curtis, Ben Elton			Blackadder Goes Forth	Sidekick	dim-witted, gullible,  foppish, twittish, childish, spoiled, bumbling, naïve, spendthrift, overly-eager-to-impress	upper-class, good-hearted, loyal, affable, cheery, upbeat, optimistic
The Scarlet Pimpernel	Percy Blakeney	male		Paris	France	right	single	Paul Chauvelin	rescuing aristocrats, eluding Republicans	horse	rapier	scarlet waistcoat, corduroy breeches	the French Revolution	literature, history	fictional	Richard E. Grant	Baroness Emma Orczy			The Scarlet Pimpernel	Hero, Aristocrat	taunting, boastful, anti-democratic	quick-thinking, quick-witted, formidible, resourceful, elusive, ingenious
